upsampling,seed,epoch,loss,accuracy,epsilon
False,0,1,2.148696933982215,72.16,0.6294439128634763
False,0,2,1.4894710237791797,81.27,0.650390556699523
False,0,3,0.8840372432777877,86.56,0.6713372005355696
False,0,4,0.5721868768429705,88.2,0.6922838443716163
False,0,5,0.42465226584151866,88.86,0.713230488207663
False,0,6,0.348951715840968,91.03,0.7341771320437096
False,0,7,0.29712247073269094,91.89,0.7551237758797562
False,0,8,0.2622942014543741,93.35,0.7760704197158029
False,0,9,0.23773939761398696,93.6,0.7970170635518496
False,0,10,0.22311804067097238,94.17,0.8179637073878963
False,0,11,0.21030581610670476,94.46,0.8389103512239429
False,0,12,0.2023176093663234,94.73,0.8598569950599896
False,0,13,0.1919619000431444,95.03,0.8808036388960363
False,0,14,0.18281198446271515,95.13,0.9017502827320829
False,0,15,0.18039510428492447,95.12,0.9226969265681295
False,0,16,0.1788676410023846,95.18,0.9436435704041763
False,0,17,0.1763110664258125,95.39,0.964590214240223
False,0,18,0.17440548606677606,95.41,0.9855368580762696
False,0,19,0.16946305900907466,95.6,1.0064835019123162
False,0,20,0.16649463978895881,95.71,1.0274301457483628
True,0,1,1.9912359484217383,80.68,0.574639086640116
True,0,2,1.0226980104026469,86.62,0.5893513830623248
True,0,3,0.5322936791079965,88.34,0.6040636794845338
True,0,4,0.3660780886315148,90.48,0.6187759759067427
True,0,5,0.2891398446147584,92.61,0.6334882723289516
True,0,6,0.24369931627403607,93.7,0.6482005687511605
True,0,7,0.21987867772589775,94.43,0.6629128651733694
True,0,8,0.20442494391252033,94.71,0.6776251615955783
True,0,9,0.1895517619294961,95.16,0.6923374580177872
True,0,10,0.18019444241971624,95.2,0.7070497544399962
True,0,11,0.1783572180958634,95.27,0.721762050862205
True,0,12,0.1747426014097238,95.42,0.736474347284414
True,0,13,0.16911406471891413,95.61,0.7511866437066229
True,0,14,0.1622402566188777,95.74,0.7658989401288319
True,0,15,0.15787295064761897,95.86,0.7806112365510407
True,0,16,0.15514105616073887,95.83,0.7953235329732496
True,0,17,0.15118466338290917,96.01,0.8100358293954586
True,0,18,0.14819544880513355,95.99,0.8247481258176674
True,0,19,0.14726443848551504,96.06,0.8394604222398763
True,0,20,0.1443924716679083,96.29,0.8541727186620853
False,1,1,2.133872889506537,71.18,0.6294439128634763
False,1,2,1.5255976025737934,81.36,0.650390556699523
False,1,3,0.9739799335567173,85.41,0.6713372005355696
False,1,4,0.6276733950892491,87.78,0.6922838443716163
False,1,5,0.4412777714256539,89.66,0.713230488207663
False,1,6,0.3400707480305039,91.32,0.7341771320437096
False,1,7,0.28127433651927186,92.93,0.7551237758797562
False,1,8,0.24702682443010782,93.44,0.7760704197158029
False,1,9,0.22365106397600315,94.14,0.7970170635518496
False,1,10,0.207604520006983,94.51,0.8179637073878963
False,1,11,0.1962301907921905,94.97,0.8389103512239429
False,1,12,0.1895090125358181,95.05,0.8598569950599896
False,1,13,0.18308223447978877,95.24,0.8808036388960363
False,1,14,0.17735724355270868,95.35,0.9017502827320829
False,1,15,0.172552401942612,95.46,0.9226969265681295
False,1,16,0.1697930271215022,95.57,0.9436435704041763
False,1,17,0.16686944629369513,95.75,0.964590214240223
False,1,18,0.16590862990474142,95.77,0.9855368580762696
False,1,19,0.16248250914725668,95.9,1.0064835019123162
False,1,20,0.16014614186561438,95.9,1.0274301457483628
True,1,1,1.9844914198937742,75.54,0.574639086640116
True,1,2,1.1076161712408066,86.45,0.5893513830623248
True,1,3,0.5764749109829691,89.57,0.6040636794845338
True,1,4,0.36101326924240723,90.66,0.6187759759067427
True,1,5,0.27136125785975973,93.29,0.6334882723289516
True,1,6,0.2289940189591355,94.3,0.6482005687511605
True,1,7,0.2045800485912795,94.84,0.6629128651733694
True,1,8,0.19184105755994096,95.0,0.6776251615955783
True,1,9,0.1819806219163266,95.27,0.6923374580177872
True,1,10,0.1749458594792734,95.54,0.7070497544399962
True,1,11,0.17038572856902398,95.7,0.721762050862205
True,1,12,0.16722931873730637,95.88,0.736474347284414
True,1,13,0.16278161012186584,95.85,0.7511866437066229
True,1,14,0.16042135720437561,96.06,0.7658989401288319
True,1,15,0.15681300894357264,96.16,0.7806112365510407
True,1,16,0.1536909326545852,96.16,0.7953235329732496
True,1,17,0.150378153154055,96.18,0.8100358293954586
True,1,18,0.14717448213857345,96.23,0.8247481258176674
True,1,19,0.14312643560168165,96.4,0.8394604222398763
True,1,20,0.14034366072684695,96.47,0.8541727186620853
False,2,1,2.137850009047909,72.05,0.6294439128634763
False,2,2,1.486544679222839,83.22,0.650390556699523
False,2,3,0.9080370157512266,87.22,0.6713372005355696
False,2,4,0.5950923679607001,88.7,0.6922838443716163
False,2,5,0.4320516616169578,90.5,0.713230488207663
False,2,6,0.34173081211570994,91.8,0.7341771320437096
False,2,7,0.2882160799526202,92.83,0.7551237758797562
False,2,8,0.25417911258142895,93.42,0.7760704197158029
False,2,9,0.2334081403799911,93.89,0.7970170635518496
False,2,10,0.21899854984364783,93.95,0.8179637073878963
False,2,11,0.2100988616789582,94.28,0.8389103512239429
False,2,12,0.2030435722948773,94.51,0.8598569950599896
False,2,13,0.19610163213601753,94.75,0.8808036388960363
False,2,14,0.1884530218107614,94.92,0.9017502827320829
False,2,15,0.1847812879377845,95.19,0.9226969265681295
False,2,16,0.18097235310052248,95.13,0.9436435704041763
False,2,17,0.17607692964295588,95.13,0.964590214240223
False,2,18,0.17469990774512545,95.24,0.9855368580762696
False,2,19,0.17262101593191054,95.34,1.0064835019123162
False,2,20,0.17192057211166506,95.4,1.0274301457483628
True,2,1,1.9818351282314821,80.43,0.574639086640116
True,2,2,1.0413829475133256,88.26,0.5893513830623248
True,2,3,0.5480046015740796,89.64,0.6040636794845338
True,2,4,0.3600195557810366,91.79,0.6187759759067427
True,2,5,0.27775282853028993,93.19,0.6334882723289516
True,2,6,0.23651298553555866,93.79,0.6482005687511605
True,2,7,0.2164660403716632,94.1,0.6629128651733694
True,2,8,0.20370652322361077,94.36,0.6776251615955783
True,2,9,0.19256128637458791,94.96,0.6923374580177872
True,2,10,0.18353085724150084,95.04,0.7070497544399962
True,2,11,0.17868526522810993,95.06,0.721762050862205
True,2,12,0.17412784196097741,95.24,0.736474347284414
True,2,13,0.1708455289666414,95.44,0.7511866437066229
True,2,14,0.16874602713373446,95.56,0.7658989401288319
True,2,15,0.16440643547949466,95.64,0.7806112365510407
True,2,16,0.1578022039691198,95.78,0.7953235329732496
True,2,17,0.15497106203110889,95.84,0.8100358293954586
True,2,18,0.15323996233531612,95.91,0.8247481258176674
True,2,19,0.15017260577720168,96.01,0.8394604222398763
True,2,20,0.1463222304697741,96.09,0.8541727186620853
